SURVEY,CASE,YOB,age,HHINC,FAML1,IEXP,GEN,PINT1,PINT2,PINT3,WINT1,WINT2,WINT3,MINT1,MINT2,MINT3,RINT1,RINT2,RINT3,UATT1,UATT2,UATT3,UATT4,UATT5,TRST1,TRST2,TRST3,TRST4,PRSK1,PRSK2,PRSK3,PRSK4,ASEC1,ASEC2,ASEC3,ASEC4,NSEC1,NSEC2,NSEC3,CSEC1,CSEC2,CSEC3,CSEC4,PSEC1,PSEC2,PSEC3,PSEC4,DSEC1,DSEC2,DSEC3,PREP1,PREP2,PREP3,PREP4,PSZE1,PSZE2,PSZE3,PEOU1,PEOU2,PEOU3,PUSE1,PUSE2,PUSE3,PINV1,PINV2,PINV3,PTPS1,PTPS2,PTPS3,GPSS1,GPSS2,GPSS3,PPSS1,PPSS2,PPSS3,PINN1,PINN2,PINN3,SEFF1,SEFF2,SEFF3,PIPC1,PIPC2,PIPC3,PSEC_FS,ASEC_FS,NSEC_FS,PINN_FS,PINT_FS,PINV_FS,PIPC_FS,PPSS_FS,PREP_FS,PEOU_PS,PUSE_FS,RISK_FS,SEC_FS,SEFF_FS,TRUST_FS,UATT_FS,SECPUSE,SECPREP,SECRISK,SECTRUST,SECPEOU,SECUATT,SEFFPPSS,SEFFPREP,SEFFPINV,SEFFSEC,PINNPPSS,PINNPREP,PINNPINV,PINNSEC,PIPCPPSS,PIPCPREP,PIPCPINV,PIPCSEC,PREPTRUST,fs_FAML,fs_INN,fs_IPC,fs_PINV,fs_PPSS,fs_REP,fs_ASEC,fs_CSEC,fs_DSEC,fs_NSEC,fs_PSEC,fs_SEC,fs_TRUST,fs_PINT,fs_RINT,fs_WOM,ms_ASEC,ms_CSEC,ms_DSEC,ms_NSEC,ms_PSEC
3,580,1966,41,150000,7,5,1,7,7,7,6,6,7,4,4,4,4,4,4,7,7,7,7,7,7,6,7,7,2,2,2,2,7,7,7,7,2,2,4,4,4,4,4,7,7,7,7,4,4,4,7,7,7,7,7,6,6,6,6,6,4,7,7,4,4,4,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,4,7,7,1.412352774,1.137122763,-1.54802167,1.421,1.013,-1.3475,1.0648,0.9719,0.8555,-0.164916388,0.19355458,-0.2261,1.0858,1.1785,1.0229,1.0952,-0.041297443,1.18954601,-0.048770997,1.010248836,-1.187813718,1.398830455,1.707870604,1.213830381,-2.354485361,1.282296683,1.575725106,1.099322373,-2.825889284,1.258669587,1.578198849,1.152768189,-1.929167753,1.264823489,1.087635973,0.863,1.4497,1.1142,-1.3997,1.0415,0.6878,1.1622,-1.1757,-1.0534,-1.6239,1.3874,-0.1603,0.9037,1.0107,-1.2147,0.4709,7.0000,4.0000,4.0000,2.6667,7.0000
3,582,1961,46,65000,7,7,1,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,6,6,7,7,7,6,7,7,6,7,7,7,6,7,6,7,7,6,7,6,6,6,4,7,7,7,1,7,6,7,7,6,4,5,5,4,7,6,7,7,3,6,7,6,7,6,5,5,7,7,1.171556483,0.787154422,1.36608562,1.1484,1.013,0.8468,1.0648,0.6822,0.4552,0.730204588,0.608761469,-0.9806,1.1657,0.5919,1.1371,1.0952,0.722087889,0.456393053,-1.00305956,1.279111161,0.921003374,1.50545635,0.605347186,0.221419254,0.495133943,0.671010763,0.781474681,0.26882012,0.83674539,1.098953675,1.102198475,0.56800999,0.984021217,1.365766279,0.449287835,0.863,1.1842,1.1142,0.8374,0.517,0.3952,0.7641,1.0486,1.1747,1.4156,1.196,1.2748,1.1023,1.0107,0.7253,0.9464,6.5000,6.5000,6.6667,7.0000,6.7500
3,583,1958,49,50000,4,4,1,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,5,4,6,6,6,6,6,6,3,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,4,4,4,-0.92568153,-1.021726782,-0.701639525,0.3438,-0.2008,-1.3475,-0.889,-0.4168,-0.5927,-0.164916388,-0.75583928,1.2828,-1.0924,0.5776,-1.0804,-1.2851,-0.511451269,-0.660920079,-0.68098573,-0.10863332,-0.572383764,-0.248550497,-0.736836012,-0.963388488,-1.558352751,-1.265190152,-0.894795486,-0.807388591,-1.272731113,-1.007242195,-0.787035777,-0.158226836,0.321180225,0.274534924,-0.629200331,-1.1378,0.3295,-1.0408,-1.3997,-0.5197,-0.5033,-1.0221,-1.1757,-1.0534,-0.6936,-0.944,-1.1932,-1.1898,-0.2024,-1.8613,-0.5202,4.2500,4.0000,4.0000,4.0000,4.0000
3,584,1958,49,38000,5,6,1,5,5,5,7,7,7,1,1,1,7,7,7,7,7,7,7,7,6,6,6,6,4,5,1,1,5,5,4,4,1,1,1,5,6,6,4,4,5,4,4,5,4,4,5,5,5,1,1,5,5,7,7,6,1,7,7,6,6,5,4,4,4,3,3,3,6,1,4,3,1,2,5,5,5,5,6,7,-0.742520207,-0.749881574,-2.780253242,-1.4708,-0.2008,0.0372,0.6926,-0.922,-1.4541,0.450100925,0.907140278,0.1799,-1.1315,-0.0232,0.3979,1.0952,-1.393317541,-0.414269777,0.479167885,-1.33419701,-0.509723053,-1.560138216,-0.97589627,-1.093566709,-0.306285196,-0.663035282,0.282972452,1.380572931,-0.219907299,1.209049643,-1.361500259,-1.747217728,-0.177509916,-1.186300373,-2.224288997,-0.4709,-1.609,0.6896,0.0142,-1.1889,-0.9321,-0.8323,0.009,-0.7815,-2.8028,-0.7265,-0.9832,0.3383,-0.2024,0.7253,0.9464,4.5000,5.2500,4.3333,1.0000,4.2500
3,585,1984,23,60,6,5,2,3,3,3,5,5,5,2,2,2,6,6,6,6,6,5,6,6,5,5,6,5,3,3,4,3,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,4,4,7,7,7,6,7,7,7,6,6,6,2,6,6,7,7,7,6,6,6,7,7,7,6,4,4,4,3,3,4,4,3,6,6,6,-0.130517777,0.318915607,0.708144588,-0.6661,-1.4146,1.0811,0.4135,-0.2892,0.6887,-0.164916388,0.075650499,0.73,0.2087,-0.8229,-0.1089,0.1538,-0.517083139,0.132917707,0.578924239,-0.681782693,-0.93999735,-0.498416126,-0.603008361,-0.571819818,-0.845092923,-0.555635999,-0.454312406,-0.404891535,-0.604601401,-0.394860848,-0.604826724,0.342723134,0.463488977,-0.103459163,-0.197882257,0.196,-0.7544,0.3959,1.07,-0.4764,0.6878,0.364,-0.4981,-0.7815,0.7125,-0.1669,-0.1736,-0.1812,-1.4155,0.0786,-0.5202,6.0000,4.7500,4.3333,6.0000,5.0000
3,586,1933,74,17000,5,5,2,5,5,4,5,5,5,3,3,3,6,6,6,5,5,5,5,5,4,4,4,6,3,3,3,3,5,5,4,5,4,4,5,5,6,5,5,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,5,5,5,5,4,4,4,4,5,5,5,5,4,5,3,3,2,5,3,3,3,6,6,-0.547586659,-0.615410586,-0.453433431,-1.1161,-0.4162,-0.7723,0.4135,-0.6277,0.0342,-0.164916388,-0.75583928,0.5283,-0.6571,-0.7988,-0.6326,-0.4917,-0.73527696,-0.725206722,0.244505809,-0.627954653,-0.695373691,-0.778209179,-0.545806022,-0.388338402,0.008563915,-0.092717593,-0.174023534,-0.208784552,0.386750693,0.341670663,-0.940544369,-0.187094548,-0.789996095,-0.633384238,-0.735292114,-0.4709,-1.2162,0.3959,-0.809,-0.7572,-0.1222,-0.621,-0.0651,-0.2224,-0.4557,-0.5437,-0.4084,-0.6248,-0.4115,0.0786,-0.5202,4.7500,5.2500,5.0000,4.3333,4.5000
3,587,1954,53,26000,5,5,2,6,6,6,5,5,5,1,1,1,7,7,7,6,4,5,6,6,5,5,6,7,2,2,2,2,7,6,7,7,6,0,6,6,6,6,5,6,6,6,6,6,6,6,7,6,7,6,7,7,7,6,6,6,1,6,6,6,6,6,6,6,6,7,7,0,6,6,7,5,3,3,4,4,4,5,4,4,0.650970235,0.890050953,0.502207486,-0.4215,0.4061,0.2716,-0.889,0.35,0.4552,-0.164916388,0.313512398,-0.2261,0.8639,-0.6241,0.3389,-0.1817,0.03643101,0.27528196,0.046571746,-0.060770532,-1.125117957,-0.719689055,-0.595803587,-0.404791592,-0.405867345,-0.730142743,-0.354980569,-0.264804622,-0.298592225,-0.507390537,-1.025295613,-0.674841644,-0.692673418,-1.076164878,-0.061860929,-0.4709,-0.5217,-1.0408,0.2468,0.392,0.3952,0.9724,0.3605,0.6087,0.446,0.6103,0.6979,0.3837,0.4041,0.7253,-0.5202,6.7500,5.7500,6.0000,4.0000,6.0000
3,589,1984,23,0,6,4,1,5,4,5,5,5,4,5,5,3,7,7,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,4,5,5,5,5,5,4,4,4,4,4,5,6,6,6,5,5,6,5,5,5,7,7,7,0.248906919,-0.506279877,-0.005284624,0.5491,-0.4041,-0.5379,1.0648,0.2776,-0.6065,-0.742438782,-0.99370118,1.882,-0.1638,-0.0232,-0.3412,-0.847,-1.090092341,-1.086427665,0.255221824,-0.770591559,-1.442086126,-1.044665634,-0.246961912,-0.650422708,-0.49570123,-0.422274902,-0.120663018,-0.966143212,-0.847602164,-0.54765719,0.43740817,-0.98292126,-0.854329404,-0.313876258,-0.936144534,0.196,0.5587,1.1142,-0.5764,0.2609,-0.7177,-0.4343,-0.3171,-0.2224,0.0094,0.1839,-0.2331,-0.4257,-0.4091,0.2348,-0.778,5.0000,5.0000,5.0000,5.0000,5.5000
3,593,1956,51,30000,6,5,2,7,7,7,7,7,7,3,3,3,7,7,7,6,6,7,6,6,6,6,6,6,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,5,6,7,7,2,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,5,5,6,5,5,6,7,6,-0.898396832,-1.271459913,-0.696293651,0.5884,1.013,0.2716,0.7857,0.9719,0.0342,0.432785856,0.075650499,0.5283,-1.2162,0.1898,0.3979,0.4498,-0.969207572,-0.825343224,0.062778941,-1.391118593,-0.537870355,-1.251790083,0.446640377,-0.295433704,-0.166418234,-0.927406906,0.77974674,-0.34700242,-0.119584967,-1.398164931,1.178686296,-0.107026812,0.089947202,-1.3572479,-0.509224319,0.196,0.5622,0.8205,0.2468,1.0415,-0.1222,-1.2325,-1.1757,-1.0534,-0.6936,-0.944,-1.252,0.3383,1.0107,0.7253,0.9464,4.0000,4.0000,4.0000,4.0000,4.0000
3,595,1936,71,35000,7,5,2,7,7,7,7,7,7,1,1,4,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,6,2,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,2,7,7,0.913976444,-0.208956546,1.602498564,1.421,1.013,1.0811,1.0648,0.9719,0.8555,0.730204588,0.907140278,-0.9806,0.5252,1.1785,1.1371,1.0952,0.509886746,0.628720074,-0.244537598,0.375213492,0.52864565,0.650714351,1.707870604,1.213830381,1.363851594,0.469148341,1.575725106,1.099322373,1.454849656,0.344419599,1.578198849,1.152768189,1.295081771,0.556581589,1.206481263,0.863,1.4497,1.1142,1.07,1.0415,0.6878,0.003,1.4001,1.4397,1.4156,0.9094,1.0965,1.1023,1.0107,0.7253,0.9464,5.5000,7.0000,7.0000,7.0000,6.2500
3,596,1957,50,100000,5,5,2,6,6,6,6,6,6,4,4,4,7,7,6,5,5,5,5,5,5,5,5,5,4,5,3,3,5,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,7,7,7,7,7,0,7,7,7,7,2,5,5,5,5,5,4,4,4,4,5,5,7,6,6,4,3,3,3,3,3,4,5,5,-0.92506046,-1.017626403,-0.933656348,-0.6661,0.4061,-0.5379,-0.2378,0.6886,0.8555,0.730204588,-0.517977381,1.031,-1.1205,-1.2249,-0.3412,-0.4917,-0.623398256,-1.017643185,-0.436980721,-0.70643294,-0.479477859,-0.66124322,-1.189719651,-0.985944016,0.123535178,0.59733672,-0.427378198,-0.445569963,-0.079294952,0.211597373,-0.382842006,-0.197272755,-0.408605593,-0.311492792,-0.331951254,-0.4709,-0.7544,-0.3225,-0.5764,0.6728,0.6878,-1.0221,-0.9206,-1.0534,-0.9316,-0.944,-1.1763,-0.4257,0.4041,0.48,0.2131,4.2500,4.2500,4.0000,3.6667,4.0000
