              ,Original correlation,Correlation permutation mean,5.00%,Permutation p value
Age,1,1,1,0
BI,0.976,0.901,0.729,0.807
EE,0.618,0.595,-0.08,0.433
Exp,1,1,1,0
FC,0.085,0.683,0.257,0.022
Gender,1,1,1,0
HAB,0.632,0.93,0.822,0.001
HM,0.933,0.94,0.829,0.334
PE,0.908,0.923,0.813,0.313
PV,0.802,0.931,0.802,0.05
SI,0.979,0.925,0.786,0.766
