              ,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.174,0,-0.278,0.26,0.223
BI,-2.858,0.002,-0.474,0.474,0
EE,-0.391,0.001,-0.255,0.262,0.003
Exp,0.148,-0.003,-0.307,0.335,0.389
FC,-0.552,0.001,-0.248,0.248,0
Gender,-0.067,-0.001,-0.15,0.14,0.379
HAB,-1.409,0.002,-0.377,0.375,0
HM,-1.129,0.002,-0.314,0.319,0
PE,-1.432,0.002,-0.365,0.372,0
PV,-0.742,0.003,-0.408,0.408,0.001
SI,-1.172,0.005,-0.386,0.394,0
