,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.127,0.008,-0.415,0.479,0.584
BI,0.821,0.011,-0.275,0.311,0
EE,0.483,0.031,-0.526,0.616,0.1
Exp,-0.022,0.044,-0.502,0.669,0.944
FC,0.543,0.014,-0.441,0.465,0.017
Gender,-0.029,0.007,-0.05,0.103,0.457
HAB,0.398,0.018,-0.349,0.387,0.031
HM,1.118,0.022,-0.418,0.464,0
PE,1.416,0.005,-0.499,0.564,0
PV,0.317,0.024,-0.355,0.441,0.121
SI,-0.106,0.005,-0.351,0.383,0.601
