              ,Original correlation,Correlation permutation mean,5.00%,Permutation p value
Age,1,1,1,0
BI,1,1,1,0.693
EE,0.995,0.959,0.798,0.657
Exp,1,1,1,0
FC,0.534,0.915,0.658,0.031
Gender,1,1,1,0
HAB,0.924,0.998,0.992,0
HM,0.999,0.999,0.998,0.124
PE,0.999,1,0.999,0.049
PV,1,0.999,0.998,0.316
SI,1,1,1,0.702
