              ,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.127,0.015,-0.416,0.463,0.577
BI,0.821,0.009,-0.285,0.306,0
EE,0.483,0.011,-0.546,0.578,0.092
Exp,-0.022,0.026,-0.555,0.672,0.955
FC,0.543,0.011,-0.446,0.485,0.022
Gender,-0.029,0.006,-0.05,0.103,0.437
HAB,0.398,0.008,-0.345,0.395,0.036
HM,1.118,0.011,-0.406,0.459,0
PE,1.416,0.016,-0.47,0.539,0
PV,0.317,0.008,-0.375,0.428,0.122
SI,-0.106,0.012,-0.349,0.386,0.58
