              ,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.183,-0.001,-0.292,0.274,0.217
BI,-1.718,0.004,-0.286,0.279,0
EE,-0.419,0,-0.281,0.288,0.005
Exp,0.13,-0.003,-0.288,0.294,0.356
FC,-0.626,0,-0.287,0.289,0
Gender,-0.067,0.002,-0.129,0.14,0.389
HAB,-1.065,0.004,-0.273,0.285,0
HM,-1.006,0.001,-0.273,0.286,0
PE,-1.117,0.002,-0.273,0.279,0
PV,-0.53,0.004,-0.279,0.284,0
SI,-0.863,0.005,-0.273,0.285,0
