              ,Original correlation,Correlation permutation mean,5.00%,Permutation p value
Age,1,1,1,0.01
BI,1,1,1,0.17
EE,0.995,0.954,0.757,0.731
Exp,1,1,1,0.003
FC,0.308,0.926,0.746,0.009
Gender,1,1,1,0.471
HAB,0.949,0.998,0.993,0
HM,0.999,1,0.999,0.105
PE,0.997,1,0.999,0.002
PV,1,0.999,0.998,0.255
SI,1,1,1,0.615
