              ,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.127,0.011,-0.403,0.457,0.556
BI,0.935,0.011,-0.284,0.308,0
EE,0.187,0.026,-0.616,0.684,0.585
Exp,-0.022,0.023,-0.529,0.679,0.946
FC,0.261,0.01,-0.412,0.426,0.227
Gender,-0.029,0.007,-0.05,0.103,0.424
HAB,0.62,0.012,-0.351,0.405,0.001
HM,1.053,0.012,-0.412,0.438,0
PE,1.502,0.012,-0.468,0.504,0
PV,0.26,0.013,-0.35,0.4,0.173
SI,-0.095,0.015,-0.343,0.392,0.608
