              ,Original correlation,Correlation permutation mean,5.00%,Permutation p value
Age,1,1,1,0.015
BI,0.975,0.898,0.717,0.815
EE,0.535,0.582,-0.088,0.34
Exp,1,1,1,0.003
FC,-0.178,0.771,0.428,0.004
Gender,1,1,1,0.472
HAB,0.569,0.922,0.807,0.001
HM,0.933,0.939,0.825,0.343
PE,0.905,0.927,0.823,0.278
PV,0.765,0.917,0.759,0.056
SI,0.978,0.927,0.784,0.748
