              ,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.127,0.014,-0.395,0.459,0.573
BI,0.935,0.008,-0.281,0.311,0
EE,0.187,0.024,-0.608,0.681,0.588
Exp,-0.022,0.025,-0.555,0.679,0.955
FC,0.261,0.014,-0.414,0.438,0.239
Gender,-0.029,0.006,-0.05,0.103,0.441
HAB,0.62,0.009,-0.372,0.403,0.002
HM,1.053,0.007,-0.432,0.453,0
PE,1.502,0.011,-0.476,0.525,0
PV,0.26,0.008,-0.356,0.392,0.17
SI,-0.095,0.012,-0.35,0.393,0.603
