,Original difference,Permutation mean difference,2.50%,97.50%,Permutation p value
Age,-0.174,-0.002,-0.278,0.281,0.248
BI,-2.858,-0.005,-0.482,0.464,0
EE,-0.391,-0.005,-0.251,0.258,0.001
Exp,0.148,-0.004,-0.327,0.335,0.385
FC,-0.552,-0.003,-0.25,0.231,0
Gender,-0.067,-0.001,-0.15,0.14,0.397
HAB,-1.409,0,-0.372,0.377,0
HM,-1.129,0,-0.322,0.33,0
PE,-1.432,0.002,-0.354,0.38,0
PV,-0.742,-0.007,-0.378,0.381,0
SI,-1.172,-0.001,-0.392,0.415,0
